N,average_elapsed_time,gflops
1,2.49E-06,0.000713924
2,3.71E-06,0.00488064
3,4.61E-06,0.0153035
4,8.61E-06,0.0148718
5,8.01E-06,0.0312076
6,1.16E-05,0.0373211
7,3.77E-05,0.0181992
8,3.53E-05,0.0290495
9,4.70E-05,0.0310185
10,4.09E-05,0.0489274
20,0.00037936,0.0421763
30,0.001367,0.0395027
40,0.00295564,0.043307
50,0.00536156,0.0466282
60,0.00977824,0.0441797
70,0.0130728,0.0524756
80,0.0197721,0.0517901
90,0.026276,0.0554878
100,0.0394032,0.0507573
200,0.333726,0.0479435
300,0.998764,0.0540669
400,2.49471,0.0513086
500,5.04506,0.0495534
600,8.2978,0.052062
700,14.1647,0.0484301
800,23.5396,0.0435011
800,22.5359,0.0454385
900,30.7341,0.0474392
1000,41.0172,0.04876
2000,433.298,0.0369261
4000,8056.08,0.0158886
