N,average_elapsed_time,gflops
1,1.04E-06,0.00192842
2,1.85E-06,0.00865921
3,2.05E-06,0.0263363
4,2.30E-06,0.0556343
5,5.39E-06,0.0463972
6,3.28E-06,0.131777
7,2.50E-06,0.274028
8,4.34E-06,0.236117
9,5.50E-06,0.410422
10,6.29E-06,0.31775
20,3.40E-05,0.470279
30,0.000133669,0.403982
40,0.000247109,0.51799
50,0.000290453,0.860723
60,0.000511336,0.844845
70,0.00116247,0.590123
80,0.00119557,0.856493
90,0.00190576,0.765048
100,0.00256736,0.77901
200,0.0187848,0.851752
300,0.0663321,0.814086
400,0.157639,0.811982
500,0.309245,0.80842
600,0.528039,0.818121
700,0.907645,0.755802
800,1.51047,0.677933
900,2.17939,0.668995
1000,3.717,0.538068
2000,73.0011,0.219175
4000,818.507,0.156382
8000,7266.03,0.14093
