N,average_elapsed_time,gflops
1,3.46E-07,0.00578525
2,6.44E-07,0.0248551
3,9.42E-07,0.0573399
4,1.85E-06,0.0692737
5,2.66E-06,0.0940427
6,4.11E-06,0.10504
7,5.91E-06,0.11602
8,8.01E-06,0.127826
9,1.17E-05,0.124548
10,1.57E-05,0.12768
11,2.0659e-05,0.128854
21,0.000129771,0.142728
31,0.000406516,0.146568
41,0.000919151,0.149967
51,0.00174081,0.152401
61,0.00299832,0.151406
71,0.0046334,0.154492
81,0.00687486,0.154604
91,0.00970463,0.155301
100,0.0127192,0.157242
200,0.10255,0.156021
300,0.351202,0.153758
400,0.892769,0.143374
500,1.79844,0.139009
600,3.2397,0.133346
700,5.001,0.137173
800,7.95448,0.128732
900,11.4792,0.127012
1000,15.8488,0.126193
2000,145.211,0.110184
