N,average_elapsed_time,gflops
1,1.55E-07,0.0129056
2,1.55E-07,0.103244
3,2.50E-07,0.215707
4,2.03E-07,0.631613
5,3.46E-07,0.723156
6,4.53E-07,0.953652
7,5.48E-07,1.251
8,6.56E-07,1.56181
9,6.79E-07,2.14572
10,1.00E-06,1.99729
11,1.35E-06,1.97615
21,7.88E-06,2.35059
31,2.58E-05,2.30646
41,6.73E-05,2.04692
51,0.000118995,2.22953
61,0.000207877,2.1838
71,0.0003407,2.10103
81,0.000543666,1.95503
91,0.000774455,1.94607
100,0.00102929,1.94309
200,0.00833931,1.91862
300,0.0288974,1.86868
400,0.0705672,1.81388
500,0.141706,1.76422
600,0.255378,1.69161
700,0.419514,1.63523
800,0.609626,1.67972
900,0.854229,1.7068
1000,1.19313,1.67626
2000,33.6323,0.475733
3000,125.757,0.429401
4000,313.082,0.408838
